file,age,gender,race,service_test
train/60423.jpg,20-29,Female,Black,True
train/45029.jpg,30-39,Female,Black,False
train/81730.jpg,20-29,Female,Black,True
train/72069.jpg,40-49,Female,Black,False
train/37655.jpg,40-49,Female,Black,False
train/45771.jpg,40-49,Female,Black,True
train/68757.jpg,30-39,Female,Black,True
train/14298.jpg,3-9,Female,Black,False
train/54138.jpg,10-19,Female,Black,False
train/63222.jpg,30-39,Female,Black,True
train/17866.jpg,3-9,Female,Black,False
train/15487.jpg,20-29,Female,Black,True
train/14211.jpg,10-19,Female,Black,True
train/41422.jpg,3-9,Female,Black,False
train/49292.jpg,0-2,Female,Black,False
train/52072.jpg,20-29,Female,Black,False
train/61812.jpg,10-19,Female,Black,True
train/26774.jpg,40-49,Female,Black,True
train/86324.jpg,3-9,Female,Black,False
train/57744.jpg,20-29,Female,Black,True
train/47909.jpg,60-69,Female,Black,False
train/25836.jpg,40-49,Female,Black,False
train/45072.jpg,40-49,Female,Black,False
train/9265.jpg,3-9,Female,Black,False
train/4530.jpg,10-19,Female,Black,True
train/46586.jpg,20-29,Female,Black,True
train/13360.jpg,10-19,Female,Black,True
train/69354.jpg,60-69,Female,Black,True
train/74269.jpg,10-19,Female,Black,True
train/59101.jpg,20-29,Female,Black,False
train/6659.jpg,30-39,Female,Black,False
train/40096.jpg,30-39,Female,Black,True
train/43354.jpg,20-29,Female,Black,False
train/52521.jpg,more than 70,Female,Black,True
train/44933.jpg,20-29,Female,Black,False
train/69928.jpg,30-39,Female,Black,False
train/30154.jpg,50-59,Female,Black,False
train/62062.jpg,20-29,Female,Black,False
train/52197.jpg,50-59,Female,Black,True
train/2261.jpg,20-29,Female,Black,False
train/12934.jpg,30-39,Female,Black,True
train/9486.jpg,40-49,Female,Black,False
train/57776.jpg,3-9,Female,Black,False
train/3985.jpg,60-69,Female,Black,True
train/39261.jpg,10-19,Female,Black,False
train/61538.jpg,30-39,Female,Black,True
train/56411.jpg,20-29,Female,Black,True
train/65666.jpg,20-29,Female,Black,False
train/57117.jpg,30-39,Female,Black,False
train/28173.jpg,50-59,Female,Black,False
train/67258.jpg,10-19,Female,Black,True
train/12227.jpg,20-29,Female,Black,True
train/14431.jpg,10-19,Female,Black,True
train/8093.jpg,20-29,Female,Black,False
train/51493.jpg,30-39,Female,Black,True
